Mapping,City_Id,dest_city_name,L3_Id,L3_Area,L4_Id,L4_Zone,warehouse_id,warehouse_title,Area_Id,Concatenated_Areas,Correct Warehouse Title
Daraz Mapping,2,Lahore,1191,Lahore - Canal Garden,4881,Block H,3,,LHE Head Office,"Lahore - Canal Garden, Block H, Lahore",Thokar Hub
Daraz Mapping,2,Lahore,1221,Lahore - DHA,7616,Phase 9,3,,LHE Head Office,"Lahore - DHA, Phase 9, Lahore",LHE Head Office
Daraz Mapping,2,Lahore,1029,Lahore - Chung,7634,Chung Police Training Center,3,,LHE Head Office,"Lahore - Chung, Chung Police Training Center, Lahore",Thokar Hub
Daraz Mapping,2,Lahore,1050,Lahore - Samnabad,7641,Samnabad,52,,Davis LHE Hub,"Lahore - Samnabad, Samnabad, Lahore",Davis LHE Hub
Daraz Mapping,2,Lahore,1466,Lahore - Ravi Road,4621,Ravi Park,52,,Davis LHE Hub,"Lahore - Ravi Road, Ravi Park, Lahore",Davis LHE Hub
Daraz Mapping,2,Lahore,1191,Lahore - Canal Garden,4878,Block E,3,,LHE Head Office,"Lahore - Canal Garden, Block E, Lahore",Thokar Hub
Daraz Mapping,2,Lahore,1029,Lahore - Chung,6381,Loharan Wala Kho,3,,LHE Head Office,"Lahore - Chung, Loharan Wala Kho, Lahore",Thokar Hub
Daraz Mapping,2,Lahore,1478,Lahore - Sanda Islampura,7672,Rajghar,52,,Davis LHE Hub,"Lahore - Sanda Islampura, Rajghar, Lahore",Davis LHE Hub
Daraz Mapping,2,Lahore,1466,Lahore - Ravi Road,7684,Qasoori Road,52,,Davis LHE Hub,"Lahore - Ravi Road, Qasoori Road, Lahore",Davis LHE Hub
Daraz Mapping,2,Lahore,1191,Lahore - Canal Garden,6286,Block A,3,,LHE Head Office,"Lahore - Canal Garden, Block A, Lahore",Thokar Hub
Daraz Mapping,2,Lahore,1478,Lahore - Sanda Islampura,7738,Rewarz Garden,52,,Davis LHE Hub,"Lahore - Sanda Islampura, Rewarz Garden, Lahore",Davis LHE Hub
Daraz Mapping,2,Lahore,1050,Lahore - Samnabad,7744,Islamabad Colony,52,,Davis LHE Hub,"Lahore - Samnabad, Islamabad Colony, Lahore",Davis LHE Hub
Daraz Mapping,2,Lahore,1463,Lahore - Punjab Society,7775,Phase 1 Block A 4,3,,LHE Head Office,"Lahore - Punjab Society, Phase 1 Block A 4, Lahore",Thokar Hub
Daraz Mapping,2,Lahore,1491,Lahore - Mughulpura,7778,Shalamar Hospital,52,,Davis LHE Hub,"Lahore - Mughulpura, Shalamar Hospital, Lahore",Davis LHE Hub
Daraz Mapping,2,Lahore,1047,Lahore - Sabzazar,7807,Sabzazar,3,,LHE Head Office,"Lahore - Sabzazar, Sabzazar, Lahore",Thokar Hub
Daraz Mapping,2,Lahore,1478,Lahore - Sanda Islampura,4758,Sanat Nagar,52,,Davis LHE Hub,"Lahore - Sanda Islampura, Sanat Nagar, Lahore",Davis LHE Hub
Daraz Mapping,2,Lahore,1050,Lahore - Samnabad,7813,Pakki Thatti,52,,Davis LHE Hub,"Lahore - Samnabad, Pakki Thatti, Lahore",Davis LHE Hub
Daraz Mapping,2,Lahore,1230,Lahore - Raiwind Road,4701,Sundar Industrial Estate,3,,LHE Head Office,"Lahore - Raiwind Road, Sundar Industrial Estate, Lahore",Thokar Hub
Daraz Mapping,2,Lahore,1210,Lahore - Kasoor Road,7820,Pearl Garden,3,,LHE Head Office,"Lahore - Kasoor Road, Pearl Garden, Lahore",LHE Head Office
Daraz Mapping,2,Lahore,1478,Lahore - Sanda Islampura,7839,Chaburji,52,,Davis LHE Hub,"Lahore - Sanda Islampura, Chaburji, Lahore",Davis LHE Hub
Daraz Mapping,2,Lahore,1033,Lahore - Gulberg,7876,Gulberg 3 Block E 3,3,,LHE Head Office,"Lahore - Gulberg, Gulberg 3 Block E 3, Lahore",LHE Head Office
Daraz Mapping,2,Lahore,1360,Lahore - Salamat Pura,7883,Wara Sattar,52,,Davis LHE Hub,"Lahore - Salamat Pura, Wara Sattar, Lahore",Davis LHE Hub
Daraz Mapping,2,Lahore,1053,Lahore - Shahdra,7887,Shahdra Town,52,,Davis LHE Hub,"Lahore - Shahdra, Shahdra Town, Lahore",Davis LHE Hub
Daraz Mapping,2,Lahore,1210,Lahore - Kasoor Road,7891,Ahlu Road,3,,LHE Head Office,"Lahore - Kasoor Road, Ahlu Road, Lahore",LHE Head Office
Daraz Mapping,2,Lahore,1478,Lahore - Sanda Islampura,4757,Outfall Road,52,,Davis LHE Hub,"Lahore - Sanda Islampura, Outfall Road, Lahore",Davis LHE Hub
Daraz Mapping,2,Lahore,1466,Lahore - Ravi Road,4619,Qila Muhammadi,52,,Davis LHE Hub,"Lahore - Ravi Road, Qila Muhammadi, Lahore",Davis LHE Hub
Daraz Mapping,2,Lahore,1332,Lahore - Khayaban-e-Jinnah Road,6413,Bahria Orchard,3,,LHE Head Office,"Lahore - Khayaban-e-Jinnah Road, Bahria Orchard, Lahore",Thokar Hub
Daraz Mapping,2,Lahore,1033,Lahore - Gulberg,7939,Gulberg 3 Block B 1,3,,LHE Head Office,"Lahore - Gulberg, Gulberg 3 Block B 1, Lahore",LHE Head Office
Daraz Mapping,2,Lahore,1332,Lahore - Khayaban-e-Jinnah Road,7963,Tariq Gardens,3,,LHE Head Office,"Lahore - Khayaban-e-Jinnah Road, Tariq Gardens, Lahore",Thokar Hub
Daraz Mapping,2,Lahore,1466,Lahore - Ravi Road,7987,Karim Park Ravi Road,52,,Davis LHE Hub,"Lahore - Ravi Road, Karim Park Ravi Road, Lahore",Davis LHE Hub
Daraz Mapping,2,Lahore,1478,Lahore - Sanda Islampura,4830,Chota Sanda,52,,Davis LHE Hub,"Lahore - Sanda Islampura, Chota Sanda, Lahore",Davis LHE Hub
Daraz Mapping,2,Lahore,1029,Lahore - Chung,8070,Chung Adda,3,,LHE Head Office,"Lahore - Chung, Chung Adda, Lahore",Thokar Hub
Daraz Mapping,2,Lahore,1210,Lahore - Kasoor Road,8071,Atto Asal,3,,LHE Head Office,"Lahore - Kasoor Road, Atto Asal, Lahore",LHE Head Office
Daraz Mapping,2,Lahore,1554,Lahore - Nespak,8134,Phase 3 Block B,3,,LHE Head Office,"Lahore - Nespak, Phase 3 Block B, Lahore",Thokar Hub
Daraz Mapping,2,Lahore,1478,Lahore - Sanda Islampura,4756,Islampura,52,,Davis LHE Hub,"Lahore - Sanda Islampura, Islampura, Lahore",Davis LHE Hub
Daraz Mapping,2,Lahore,1556,Lahore - Mall Road,8147,Aitchison College,52,,Davis LHE Hub,"Lahore - Mall Road, Aitchison College, Lahore",Davis LHE Hub
Daraz Mapping,2,Lahore,1554,Lahore - Nespak,7296,Phase 2 Block D,3,,LHE Head Office,"Lahore - Nespak, Phase 2 Block D, Lahore",Thokar Hub
Daraz Mapping,2,Lahore,1047,Lahore - Sabzazar,6355,Block C,3,,LHE Head Office,"Lahore - Sabzazar, Block C, Lahore",Thokar Hub
Daraz Mapping,2,Lahore,1556,Lahore - Mall Road,8213,GOR 1,52,,Davis LHE Hub,"Lahore - Mall Road, GOR 1, Lahore",Davis LHE Hub
Daraz Mapping,2,Lahore,1257,Lahore - College Road,6343,Oqaf Colony,3,,LHE Head Office,"Lahore - College Road, Oqaf Colony, Lahore",LHE Head Office
Daraz Mapping,2,Lahore,1332,Lahore - Khayaban-e-Jinnah Road,8228,Gulshan e Lahore,3,,LHE Head Office,"Lahore - Khayaban-e-Jinnah Road, Gulshan e Lahore, Lahore",Thokar Hub
Daraz Mapping,2,Lahore,1554,Lahore - Nespak,8238,Phase 1 Block E,3,,LHE Head Office,"Lahore - Nespak, Phase 1 Block E, Lahore",Thokar Hub
Daraz Mapping,2,Lahore,1463,Lahore - Punjab Society,8287,Phase 1 Block B 1,3,,LHE Head Office,"Lahore - Punjab Society, Phase 1 Block B 1, Lahore",Thokar Hub
Daraz Mapping,2,Lahore,1332,Lahore - Khayaban-e-Jinnah Road,4700,Shareef Medical Jati Umra,3,,LHE Head Office,"Lahore - Khayaban-e-Jinnah Road, Shareef Medical Jati Umra, Lahore",Thokar Hub
Daraz Mapping,2,Lahore,1494,Lahore - Yateem Khana,8309,Khuda Baksh Road,52,,Davis LHE Hub,"Lahore - Yateem Khana, Khuda Baksh Road, Lahore",Davis LHE Hub
Daraz Mapping,2,Lahore,1554,Lahore - Nespak,8311,Phase 3 Block A,3,,LHE Head Office,"Lahore - Nespak, Phase 3 Block A, Lahore",Thokar Hub
Daraz Mapping,2,Lahore,1556,Lahore - Mall Road,8324,Punjab Assembly,52,,Davis LHE Hub,"Lahore - Mall Road, Punjab Assembly, Lahore",Davis LHE Hub
Daraz Mapping,2,Lahore,1342,Lahore - Shad Bagh,8334,Sher Shah Road,52,,Davis LHE Hub,"Lahore - Shad Bagh, Sher Shah Road, Lahore",Davis LHE Hub
Daraz Mapping,2,Lahore,1554,Lahore - Nespak,8347,Phase 1 Block D 2,3,,LHE Head Office,"Lahore - Nespak, Phase 1 Block D 2, Lahore",Thokar Hub
Daraz Mapping,2,Lahore,1556,Lahore - Mall Road,8358,Pakistan Stock Exchange,52,,Davis LHE Hub,"Lahore - Mall Road, Pakistan Stock Exchange, Lahore",Davis LHE Hub
Daraz Mapping,2,Lahore,1342,Lahore - Shad Bagh,8370,Taj Pura,52,,Davis LHE Hub,"Lahore - Shad Bagh, Taj Pura, Lahore",Davis LHE Hub
Daraz Mapping,2,Lahore,1554,Lahore - Nespak,6800,Phase 2 Block A,3,,LHE Head Office,"Lahore - Nespak, Phase 2 Block A, Lahore",Thokar Hub
Daraz Mapping,2,Lahore,1478,Lahore - Sanda Islampura,4834,Prem Nagar,52,,Davis LHE Hub,"Lahore - Sanda Islampura, Prem Nagar, Lahore",Davis LHE Hub
Daraz Mapping,2,Lahore,1582,Lahore - Dharampura,8435,Infantry Road,52,,Davis LHE Hub,"Lahore - Dharampura, Infantry Road, Lahore",Davis LHE Hub
Daraz Mapping,2,Lahore,1047,Lahore - Sabzazar,6286,Block A,3,,LHE Head Office,"Lahore - Sabzazar, Block A, Lahore",Thokar Hub
Daraz Mapping,2,Lahore,1342,Lahore - Shad Bagh,8442,Neelam Cinema,52,,Davis LHE Hub,"Lahore - Shad Bagh, Neelam Cinema, Lahore",Davis LHE Hub
Daraz Mapping,2,Lahore,1463,Lahore - Punjab Society,8466,Phase 1 Block R,3,,LHE Head Office,"Lahore - Punjab Society, Phase 1 Block R, Lahore",Thokar Hub
Daraz Mapping,2,Lahore,1556,Lahore - Mall Road,8469,AlFalah Building,52,,Davis LHE Hub,"Lahore - Mall Road, AlFalah Building, Lahore",Davis LHE Hub
Daraz Mapping,2,Lahore,1554,Lahore - Nespak,6836,Phase 2 Block C,3,,LHE Head Office,"Lahore - Nespak, Phase 2 Block C, Lahore",Thokar Hub
Daraz Mapping,2,Lahore,1478,Lahore - Sanda Islampura,8497,Chohan Road,52,,Davis LHE Hub,"Lahore - Sanda Islampura, Chohan Road, Lahore",Davis LHE Hub
Daraz Mapping,2,Lahore,1582,Lahore - Dharampura,8502,Military Account Colony,52,,Davis LHE Hub,"Lahore - Dharampura, Military Account Colony, Lahore",Davis LHE Hub
Daraz Mapping,2,Lahore,1590,Lahore - Sukh Chain Garden,4878,Block E,3,,LHE Head Office,"Lahore - Sukh Chain Garden, Block E, Lahore",Thokar Hub
Daraz Mapping,2,Lahore,1463,Lahore - Punjab Society,8534,Phase 1 Block A 3,3,,LHE Head Office,"Lahore - Punjab Society, Phase 1 Block A 3, Lahore",Thokar Hub
Daraz Mapping,2,Lahore,1556,Lahore - Mall Road,8537,Victoria park,52,,Davis LHE Hub,"Lahore - Mall Road, Victoria park, Lahore",Davis LHE Hub
Daraz Mapping,2,Lahore,1591,Lahore - Defence Road Raiwind,4731,Haloki,3,,LHE Head Office,"Lahore - Defence Road Raiwind, Haloki, Lahore",Thokar Hub
Daraz Mapping,2,Lahore,1590,Lahore - Sukh Chain Garden,4879,Block F,3,,LHE Head Office,"Lahore - Sukh Chain Garden, Block F, Lahore",Thokar Hub
Daraz Mapping,2,Lahore,1554,Lahore - Nespak,8560,Phase 1 Block D 1,3,,LHE Head Office,"Lahore - Nespak, Phase 1 Block D 1, Lahore",Thokar Hub
Daraz Mapping,2,Lahore,1463,Lahore - Punjab Society,4877,Block D,3,,LHE Head Office,"Lahore - Punjab Society, Block D, Lahore",LHE Head Office
Daraz Mapping,2,Lahore,1590,Lahore - Sukh Chain Garden,4880,Block G,3,,LHE Head Office,"Lahore - Sukh Chain Garden, Block G, Lahore",Thokar Hub
Daraz Mapping,2,Lahore,1596,Lahore - Engineers Town,8590,Phase 3 Block E,3,,LHE Head Office,"Lahore - Engineers Town, Phase 3 Block E, Lahore",Thokar Hub
Daraz Mapping,2,Lahore,1331,Lahore - Bedian Road,4676,Roranwala,3,,LHE Head Office,"Lahore - Bedian Road, Roranwala, Lahore",LHE Head Office
Daraz Mapping,2,Lahore,1597,Lahore - Eden,8597,Lane Villas 2,3,,LHE Head Office,"Lahore - Eden, Lane Villas 2, Lahore",Thokar Hub
Daraz Mapping,2,Lahore,1556,Lahore - Mall Road,8606,Shahdin Manzil,52,,Davis LHE Hub,"Lahore - Mall Road, Shahdin Manzil, Lahore",Davis LHE Hub
Daraz Mapping,2,Lahore,1331,Lahore - Bedian Road,4658,Chota Mota Singhwala,3,,LHE Head Office,"Lahore - Bedian Road, Chota Mota Singhwala, Lahore",LHE Head Office
Daraz Mapping,2,Lahore,1591,Lahore - Defence Road Raiwind,4733,Khayban-E-Amin,3,,LHE Head Office,"Lahore - Defence Road Raiwind, Khayban-E-Amin, Lahore",Thokar Hub
Daraz Mapping,2,Lahore,1590,Lahore - Sukh Chain Garden,6286,Block A,3,,LHE Head Office,"Lahore - Sukh Chain Garden, Block A, Lahore",Thokar Hub
Daraz Mapping,2,Lahore,1596,Lahore - Engineers Town,8625,Phase 3 Block E 4,3,,LHE Head Office,"Lahore - Engineers Town, Phase 3 Block E 4, Lahore",Thokar Hub
Daraz Mapping,2,Lahore,1494,Lahore - Yateem Khana,8628,Niazi Adda,52,,Davis LHE Hub,"Lahore - Yateem Khana, Niazi Adda, Lahore",Davis LHE Hub
Daraz Mapping,2,Lahore,1597,Lahore - Eden,8632,Canal Villas,3,,LHE Head Office,"Lahore - Eden, Canal Villas, Lahore",Thokar Hub
Daraz Mapping,2,Lahore,1221,Lahore - DHA,8656,New Iqbal Park,3,,LHE Head Office,"Lahore - DHA, New Iqbal Park, Lahore",LHE Head Office
Daraz Mapping,2,Lahore,1596,Lahore - Engineers Town,8659,Phase 3 Block E 3,3,,LHE Head Office,"Lahore - Engineers Town, Phase 3 Block E 3, Lahore",Thokar Hub
Daraz Mapping,2,Lahore,1494,Lahore - Yateem Khana,8661,Shezan Factory,52,,Davis LHE Hub,"Lahore - Yateem Khana, Shezan Factory, Lahore",Davis LHE Hub
Daraz Mapping,2,Lahore,1597,Lahore - Eden,8667,Palace Villas,3,,LHE Head Office,"Lahore - Eden, Palace Villas, Lahore",Thokar Hub
Daraz Mapping,2,Lahore,1478,Lahore - Sanda Islampura,4833,National Town,52,,Davis LHE Hub,"Lahore - Sanda Islampura, National Town, Lahore",Davis LHE Hub
Daraz Mapping,2,Lahore,1556,Lahore - Mall Road,8675,Sadiq Plaza,52,,Davis LHE Hub,"Lahore - Mall Road, Sadiq Plaza, Lahore",Davis LHE Hub
Daraz Mapping,2,Lahore,1591,Lahore - Defence Road Raiwind,8678,DHA Rehber Phase 11,3,,LHE Head Office,"Lahore - Defence Road Raiwind, DHA Rehber Phase 11, Lahore",Thokar Hub
Daraz Mapping,2,Lahore,1590,Lahore - Sukh Chain Garden,4876,Block B,3,,LHE Head Office,"Lahore - Sukh Chain Garden, Block B, Lahore",Thokar Hub
Daraz Mapping,2,Lahore,1596,Lahore - Engineers Town,8698,Phase 3 Block D,3,,LHE Head Office,"Lahore - Engineers Town, Phase 3 Block D, Lahore",Thokar Hub
Daraz Mapping,2,Lahore,1494,Lahore - Yateem Khana,8701,Sodiwal,52,,Davis LHE Hub,"Lahore - Yateem Khana, Sodiwal, Lahore",Davis LHE Hub
Daraz Mapping,2,Lahore,1597,Lahore - Eden,8705,Lane Villas 1,3,,LHE Head Office,"Lahore - Eden, Lane Villas 1, Lahore",Thokar Hub
Daraz Mapping,2,Lahore,1303,Lahore - Ferozpur Road,8706,Quaid e Millat Colony,3,,LHE Head Office,"Lahore - Ferozpur Road, Quaid e Millat Colony, Lahore",LHE Head Office
Daraz Mapping,2,Lahore,1463,Lahore - Punjab Society,8710,Phase 1 Block A 2,3,,LHE Head Office,"Lahore - Punjab Society, Phase 1 Block A 2, Lahore",Thokar Hub
Daraz Mapping,2,Lahore,1556,Lahore - Mall Road,8712,Beadon Road,52,,Davis LHE Hub,"Lahore - Mall Road, Beadon Road, Lahore",Davis LHE Hub
Daraz Mapping,2,Lahore,1591,Lahore - Defence Road Raiwind,4794,Dream Garden,3,,LHE Head Office,"Lahore - Defence Road Raiwind, Dream Garden, Lahore",Thokar Hub
Daraz Mapping,2,Lahore,1596,Lahore - Engineers Town,8731,Phase 3 Block D 1,3,,LHE Head Office,"Lahore - Engineers Town, Phase 3 Block D 1, Lahore",Thokar Hub
Daraz Mapping,2,Lahore,1494,Lahore - Yateem Khana,8733,60 Feet Road,52,,Davis LHE Hub,"Lahore - Yateem Khana, 60 Feet Road, Lahore",Davis LHE Hub
Daraz Mapping,2,Lahore,1463,Lahore - Punjab Society,8744,Phase 1 Block A 5,3,,LHE Head Office,"Lahore - Punjab Society, Phase 1 Block A 5, Lahore",Thokar Hub
Daraz Mapping,2,Lahore,1556,Lahore - Mall Road,8746,Hall Road,52,,Davis LHE Hub,"Lahore - Mall Road, Hall Road, Lahore",Davis LHE Hub
Daraz Mapping,2,Lahore,1591,Lahore - Defence Road Raiwind,4737,University Of Lahore,3,,LHE Head Office,"Lahore - Defence Road Raiwind, University Of Lahore, Lahore",Thokar Hub
Daraz Mapping,2,Lahore,1590,Lahore - Sukh Chain Garden,6355,Block C,3,,LHE Head Office,"Lahore - Sukh Chain Garden, Block C, Lahore",Thokar Hub
Daraz Mapping,2,Lahore,1596,Lahore - Engineers Town,8765,Phase 3 Block D 2,3,,LHE Head Office,"Lahore - Engineers Town, Phase 3 Block D 2, Lahore",Thokar Hub
Daraz Mapping,2,Lahore,1494,Lahore - Yateem Khana,8768,Chappar Stop,52,,Davis LHE Hub,"Lahore - Yateem Khana, Chappar Stop, Lahore",Davis LHE Hub
Daraz Mapping,2,Lahore,1478,Lahore - Sanda Islampura,8777,Umer Road,52,,Davis LHE Hub,"Lahore - Sanda Islampura, Umer Road, Lahore",Davis LHE Hub
